UMAP1,UMAP2
7.301901,15.642081
-0.721797,5.4550176
8.720969,1.9846568
-4.3189154,10.53834
-3.3656633,10.100731
2.8203743,16.359526
0.875093,7.8728313
-1.7989962,10.21647
2.0784593,-6.33605
-8.7630205,2.0867453
-2.1144302,7.329843
-4.632915,1.7728522
-3.3924224,10.101597
2.0638595,-6.3296523
6.001479,6.46591
-0.4341469,-5.7340865
0.8371388,11.5178995
-7.498911,-0.73190856
-2.0921729,7.1159286
-6.237065,4.0993333
6.4184937,6.3891077
7.9779205,2.3890767
-0.038347058,-5.550895
-7.6176314,10.2137575
2.1171985,-6.3706665
0.75420976,11.459722
6.675779,2.5152855
-0.6319423,6.6496224
-3.3486893,10.096511
11.264159,-5.9323964
0.43600875,4.7975607
-11.980311,-4.927615
7.6837897,8.107027
-2.0514972,-5.4020333
11.4708,-5.723173
0.05009862,6.7806416
0.66987985,8.990747
0.9238959,7.8124566
-1.94131,12.078294
-16.267923,9.117311
0.6312841,9.194381
11.148538,-6.039967
6.4641314,2.5214834
0.5337853,-5.792849
-1.0051309,5.867568
-11.546756,0.13143638
3.8958755,7.597339
0.21933152,-5.610353
-11.426063,8.774337
-2.4215457,11.719821
2.3714457,15.774971
-2.378333,-5.758428
13.335252,2.6417136
-5.74881,14.739795
-0.6695353,5.5641327
-5.7920833,14.736144
7.0350537,2.4148743
6.306392,1.4873152
-3.7396734,10.157873
-7.678297,10.26334
8.414857,2.2238908
-2.1025314,8.133332
2.872182,16.505653
8.476482,2.7844582
6.6161385,2.652589
-7.91937,12.554625
-15.322421,-0.0906879
-0.9062973,10.728524
6.3191085,1.4968532
4.021838,16.064486
-3.7576938,10.163095
5.2785983,18.478258
-5.814045,15.154789
-7.5820737,10.262634
-4.4063826,11.678049
-1.3066756,6.433994
1.9768038,15.000591
2.2402449,15.748561
-1.3310484,12.354322
-1.6575079,-5.462893
2.7073772,20.45858
-2.0271137,11.832798
8.417261,2.725319
-11.560373,0.11862152
13.563492,2.582846
0.8344338,-10.2017
-11.252872,9.201697
1.0356379,8.3702345
0.12881802,-5.703136
8.3037195,2.2806315
3.9354622,0.07191715
-7.9243493,12.57683
-1.5873417,-5.5585117
-4.511252,11.080262
13.245592,2.6966608
-0.92280716,5.1924653
1.0688618,8.389603
-4.401018,11.3804865
-5.765347,14.815485
8.153979,2.3188803
-2.6385999,11.897808
2.303527,15.717799
6.306732,1.4871845
13.746077,3.2723386
-0.31611076,-5.7030044
0.27457008,4.9656053
-2.1860876,6.7625732
7.7850957,7.442726
-1.7701935,10.26676
8.445075,2.792323
11.282585,-5.928714
3.806864,4.7942896
2.1055024,-6.360529
-2.3675685,-5.798381
10.099793,8.21182
2.8602946,16.36526
0.53801966,-5.7951365
6.509658,2.4873042
-0.13378927,-5.7662907
-5.887716,15.747093
-4.619687,11.92926
-4.636856,11.908172
-1.6525356,4.8682146
6.9972153,2.4594982
0.21728136,5.5332136
5.752917,6.464311
-2.6209447,11.864313
5.61096,6.4813375
12.72093,7.182856
7.09588,2.3659756
1.969194,15.051942
0.89138794,11.564542
10.626792,11.30844
3.430549,16.478445
-0.73593116,5.9568257
-0.1852928,6.6275315
2.1063552,-6.361428
-5.8156004,15.140632
0.82211864,7.758191
1.9843891,14.872063
8.57613,2.0939617
7.6526284,2.3216956
5.058329,18.287132
0.32947016,4.8868837
-0.77990687,20.110373
-7.938363,12.586543
-0.838044,20.442423
11.327203,-5.868853
-0.6053825,19.078232
9.363895,23.994919
0.06297372,6.807064
