UMAP1,UMAP2
1.7179254,-5.26126
8.312487,-4.8836384
15.524326,7.4930596
0.60153747,10.653084
3.6723616,10.172527
17.32165,3.7795172
1.9450084,10.189671
-1.7170074,12.713732
16.279888,2.9757004
2.4547956,-5.765842
6.190506,7.6358037
6.3336535,7.7652082
15.444075,2.3761117
-4.7879605,11.148451
5.3672915,-5.0907164
6.026541,6.1068854
-3.054435,12.49046
0.40595236,3.946485
9.318857,15.667469
16.046911,4.4732494
-4.5475106,12.857477
14.032866,2.9028425
3.8322463,1.3485707
17.509197,4.679933
0.34168988,10.000702
17.19049,3.511858
0.4955108,-4.404984
7.812627,14.208228
3.8900683,1.3152379
-1.1888751,12.898238
11.659934,13.684875
11.696796,6.5033193
12.260429,5.1727233
12.39506,15.097729
15.222746,8.015418
9.863095,1.4655848
8.707732,-5.707434
11.444217,6.637518
-6.246005,11.480619
14.639748,4.135798
8.449634,15.376405
-0.8322543,-4.825473
8.210108,-4.986647
13.15029,4.581986
-5.594323,7.919766
4.9059844,-7.430057
15.03514,7.9802074
7.9600453,15.564954
7.794903,14.186984
2.479895,-4.5897408
11.852687,14.14846
3.528557,10.190034
6.259962,7.439376
4.5125213,11.136525
6.17067,7.4019003
-2.6842113,1.2723554
4.33521,12.734842
15.649792,7.0788975
0.78680384,9.93572
4.0531197,-7.39467
4.0289288,1.014051
0.4115922,3.826122
0.4245476,2.6093047
-5.8428125,9.002798
4.972075,-7.3807464
12.192954,5.1801786
0.1901985,-4.8601537
14.1991825,-0.16519064
-5.534512,10.169986
-4.455528,12.631213
-3.8549864,12.120968
14.490913,4.3798785
0.92129123,7.759881
12.183027,6.2567587
15.074017,7.9022336
-6.4689565,11.636307
-1.0593102,13.019527
14.030608,2.8882
-5.222577,10.497387
7.292772,16.215168
11.22092,9.04716
3.8988664,0.48123214
6.089671,-7.1671934
14.069618,1.8637807
-5.3463764,7.4750733
4.293968,12.671789
5.572759,8.255208
12.398578,15.43706
13.476343,4.1335926
5.395828,-6.0478454
4.3338766,10.287959
2.9680655,0.3208734
4.818362,9.664058
-1.8156809,12.669432
1.4131345,2.884103
11.475752,11.585208
-2.4458067,1.7874049
4.5314717,11.149563
1.2880155,9.414816
6.333528,-2.2928193
17.505571,4.721214
1.8008021,-4.970343
-2.2384155,12.565935
13.33186,0.09490781
12.473062,15.397322
5.606741,-7.095934
6.213274,-2.770131
11.505184,6.675986
0.815231,3.3150568
11.677785,16.110495
11.676548,13.695259
2.1977923,2.8890584
7.295209,16.213005
0.46037948,9.948761
1.7392746,10.28029
10.060491,15.584751
1.2088274,8.186403
4.2712593,12.103155
14.006177,1.8410687
2.235256,-5.1101675
-2.6886468,1.2569649
11.8545885,6.195875
15.162576,2.5770674
15.146565,8.022187
-5.839953,9.057545
4.721947,9.851001
-2.6378937,12.507689
11.411229,6.554208
12.367888,15.347087
13.981274,2.8646889
-4.4398084,11.863614
0.38387236,-4.2946362
2.4127512,0.99004024
6.346735,-3.544853
3.4518774,0.71330696
15.573252,2.6245878
13.37649,2.090688
-2.4865432,1.9710553
2.699187,0.5198308
11.463217,8.860494
0.3729903,3.9367297
4.788335,-4.199501
2.709937,2.818708
8.664892,15.413963
0.9056569,7.74408
2.7650094,-3.9955251
2.288544,1.0743972
1.7288814,10.248349
-6.1892204,11.446449
2.2411113,-5.420252
15.719828,4.379627
4.2835417,11.5588665
-1.0775822,12.9950695
10.557102,15.680817
13.319707,2.1312883
